Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G057700.0, HORVU.MOREX.r3.2HG0150570.0, 105, 1360

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G102180.0, HORVU.MOREX.r3.2HG0193910.0, 105, 2713

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G074280.0, HORVU.MOREX.r3.2HG0167620.0, 105, 1743

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G062320.0, HORVU.MOREX.r3.2HG0155140.0, 105, 2694

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G106810.0, HORVU.MOREX.r3.2HG0198000.0, 105, 3071

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G102400.0, HORVU.MOREX.r3.2HG0194120.0, 105, 4073

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G118230.0, HORVU.MOREX.r3.2HG0208700.0, 105, 533

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G109820.0, HORVU.MOREX.r3.2HG0201120.0, 105, 4832

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G075850.0, HORVU.MOREX.r3.2HG0169040.0, 105, 10465

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G126940.0, HORVU.MOREX.r3.2HG0217490.0, 105, 5689

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G118510.0, HORVU.MOREX.r3.2HG0208960.0, 105, 1785

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G001340.0, HORVU.MOREX.r3.2HG0096460.0, 105, 1520

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G088980.0, HORVU.MOREX.r3.2HG0181490.0, 105, 36221

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G091870.0, HORVU.MOREX.r3.2HG0184360.0, 105, 823

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G080860.0, HORVU.MOREX.r3.2HG0173660.0, 105, 1829

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G120420.0, HORVU.MOREX.r3.2HG0211000.0, 105, 386

Old stable ID, New stable ID, Release, Mapping score
